Gene	"Gene synonym"	"Gene description"
MCF2L	"ARHGEF14, DBS, KIAA0362, OST"	"MCF.2 cell line derived transforming sequence like"
MCF2L2	"ARHGEF22, KIAA0861"	"MCF.2 cell line derived transforming sequence-like 2"
MCHR1	"GPR24, MCH1R, SLC1"	"Melanin concentrating hormone receptor 1"
MCTP1	FLJ22344	"Multiple C2 and transmembrane domain containing 1"
MEGF11	"DKFZp434L121, KIAA1781"	"Multiple EGF like domains 11"
MEIS3	"DKFZp547H236, MRG2"	"Meis homeobox 3"
METRN	"C16orf23, MGC2601"	"Meteorin, glial cell differentiation regulator"
METTL25	"C12orf26, FLJ22789"	"Methyltransferase like 25"
MFAP3L	"KIAA0626, NYD-sp9"	"Microfibril associated protein 3 like"
MGA	"FLJ12634, KIAA0518, MAD5, MXD5"	"MAX dimerization protein MGA"
MGAT3	GNT-III	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
MICAL2	KIAA0750	"Microtubule associated monooxygenase, calponin and LIM domain containing 2"
MICAL3	KIAA0819	"Microtubule associated monooxygenase, calponin and LIM domain containing 3"
MICU3	"DKFZp313A0139, EFHA2"	"Mitochondrial calcium uptake family member 3"
MINAR1	"KIAA1024, UBTOR"	"Membrane integral NOTCH2 associated receptor 1"
MINDY4B	"C3orf76, FAM188B2"	"MINDY family member 4B"
MKRN3	"D15S9, MGC88288, RNF63, ZFP127, ZNF127"	"Makorin ring finger protein 3"
MLLT11	AF1Q	"MLLT11 transcription factor 7 cofactor"
MMD2	PAQR10	"Monocyte to macrophage differentiation associated 2"
MMP16	"C8orf57, DKFZp761D112, MT3-MMP"	"Matrix metallopeptidase 16"
MMP17	MT4-MMP	"Matrix metallopeptidase 17"
MOB3B	"C9orf35, FLJ13204, MOB1D, MOBKL2B"	"MOB kinase activator 3B"
MOSPD2	MGC26706	"Motile sperm domain containing 2"
MPP2	"DKFZp761D0712, DLG2"	"Membrane palmitoylated protein 2"
MPP3	DLG3	"Membrane palmitoylated protein 3"
MPP6	"p55T, PALS2, VAM-1"	"Membrane palmitoylated protein 6"
MRAP2	"bA51G5.2, C6orf117"	"Melanocortin 2 receptor accessory protein 2"
MRAS	"M-RAs, R-RAS3, RRAS3"	"Muscle RAS oncogene homolog"
MRO	"B29, C18orf3, FLJ30140"	Maestro
MROH9	"ARMC11, C1orf129, FLJ23550"	"Maestro heat like repeat family member 9"
MRPL41	"BMRP, MRP-L27, MRPL27, PIG3, RPML27"	"Mitochondrial ribosomal protein L41"
MSANTD1	"C4orf44, LOC345222"	"Myb/SANT DNA binding domain containing 1"
MSH4		"MutS homolog 4"
MSMP	"PC-3, PSMP"	"Microseminoprotein, prostate associated"
MT-CO1	"COI, COX1, MTCO1"	"Mitochondrially encoded cytochrome c oxidase I"
MT-CO2	"CO2, COX2, MTCO2"	"Mitochondrially encoded cytochrome c oxidase II"
MT-CO3	"CO3, COIII, COX3, MTCO3"	"Mitochondrially encoded cytochrome c oxidase III"
MT-ND1	"MTND1, NAD1, ND1"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"
MT-ND2	"MTND2, NAD2, ND2"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"
MT-ND4L	"MTND4L, NAD4L, ND4L"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"
MT-ND5	"MTND5, NAD5, ND5"	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"
MT1F	MT1	"Metallothionein 1F"
MTMR7		"Myotubularin related protein 7"
MTNR1A	MEL-1A-R	"Melatonin receptor 1A"
MTRNR2L1		"MT-RNR2 like 1"
MTRNR2L12		"MT-RNR2 like 12"
MTRNR2L13		"MT-RNR2 like 13"
MTRNR2L3		"MT-RNR2 like 3"
MTRNR2L5		"MT-RNR2 like 5"
MTRNR2L8		"MT-RNR2 like 8"
MTSS2	"ABBA, ABBA-1, LOC92154, MTSS1L"	"MTSS I-BAR domain containing 2"
MUSK		"Muscle associated receptor tyrosine kinase"
MVB12B	"C9orf28, FAM125B, FLJ00001"	"Multivesicular body subunit 12B"
MYH15	KIAA1000	"Myosin heavy chain 15"
MYMK	"TMEM226, TMEM8C"	"Myomaker, myoblast fusion factor"
MYO16	"KIAA0865, Myo16b, MYR8, NYAP3, PPP1R107"	"Myosin XVI"
MYO5A	"GS1, MYH12, MYO5, MYR12"	"Myosin VA"
MYRIP	"DKFZp586F1018, exophilin-8, SLAC2-C, SLAC2C"	"Myosin VIIA and Rab interacting protein"
MYT1	"MTF1, MYTI, NZF2, PLPB1, ZC2H2C1, ZC2HC4A"	"Myelin transcription factor 1"
NACC2	"BEND9, BTBD14A, BTBD31, MGC23427"	"NACC family member 2"
NAGPA	"APAA, UCE"	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"
NALCN	"bA430M15.1, CanIon, VGCNL1"	"Sodium leak channel, non-selective"
NANOG	"FLJ12581, FLJ40451"	"Nanog homeobox"
NAP1L2	"BPX, MGC26243"	"Nucleosome assembly protein 1 like 2"
NAP1L3	"MB20, MGC26312, NPL3"	"Nucleosome assembly protein 1 like 3"
NAP1L5	DRLM	"Nucleosome assembly protein 1 like 5"
NAV2	"FLJ10633, FLJ11030, FLJ23707, HELAD1, KIAA1419, POMFIL2, RAINB1"	"Neuron navigator 2"
NAV3	"KIAA0938, POMFIL1"	"Neuron navigator 3"
NBPF4	FLJ32833	"NBPF member 4"
NCAM1	"CD56, NCAM"	"Neural cell adhesion molecule 1"
NCAM2	"MGC51008, NCAM21"	"Neural cell adhesion molecule 2"
NCS1	"FREQ, NCS-1"	"Neuronal calcium sensor 1"
NDP	"EVR2, norrin"	"Norrin cystine knot growth factor NDP"
NDRG1	"CAP43, DRG1, NDR1, RTP, TDD5"	"N-myc downstream regulated 1"
NDRG2	"KIAA1248, SYLD"	"NDRG family member 2"
NDRG4	"KIAA1180, SMAP-8"	"NDRG family member 4"
NDUFAF8	C17orf89	"NADH:ubiquinone oxidoreductase complex assembly factor 8"
NELL1	"FLJ45906, IDH3GL"	"Neural EGFL like 1"
NELL2	NRP2	"Neural EGFL like 2"
NETO2	"FLJ10430, NEOT2"	"Neuropilin and tolloid like 2"
NEXMIF	"KIAA2022, KIDLIA, MRX98, XPN"	"Neurite extension and migration factor"
NFASC	"FLJ46866, KIAA0756, NF, NRCAML"	Neurofascin
NFE2L3	Nrf3	"Nuclear factor, erythroid 2 like 3"
NFIA	"KIAA1439, NFI-L"	"Nuclear factor I A"
NGB		Neuroglobin
NGEF	ARHGEF27	"Neuronal guanine nucleotide exchange factor"
NGFR	"CD271, p75NTR, TNFRSF16"	"Nerve growth factor receptor"
NGRN	DSC92	"Neugrin, neurite outgrowth associated"
NHLH1	"bHLHa35, HEN1, NSCL, NSCL1"	"Nescient helix-loop-helix 1"
NINJ2		"Ninjurin 2"
NIPA1	"MGC35570, SLC57A1, SPG6"	"NIPA magnesium transporter 1"
NIPAL3	"DJ462O23.2, NPAL3"	"NIPA like domain containing 3"
NIPAL4	ICHYN	"NIPA like domain containing 4"
NKD1		"NKD inhibitor of WNT signaling pathway 1"
NKX2-8	"Nkx2-9, NKX2.8, NKX2H"	"NK2 homeobox 8"
NKX6-1	"Nkx6.1, NKX6A"	"NK6 homeobox 1"
NLGN1	KIAA1070	"Neuroligin 1"
NLGN3	"ASPGX1, AUTSX1, HNL3, KIAA1480"	"Neuroligin 3"
NLGN4X	"HLNX, KIAA1260, NLGN, NLGN4"	"Neuroligin 4 X-linked"
NMB	"MGC17211, MGC2277, MGC3936"	"Neuromedin B"
NMBR	"BB1, BB1R"	"Neuromedin B receptor"
NMNAT2	"C1orf15, KIAA0479, PNAT2"	"Nicotinamide nucleotide adenylyltransferase 2"
NMNAT3	PNAT3	"Nicotinamide nucleotide adenylyltransferase 3"
NODAL		"Nodal growth differentiation factor"
NOG	"SYM1, SYNS1"	Noggin
NOVA1	NOVA-1	"NOVA alternative splicing regulator 1"
NOVA2	"ANOVA, NOVA-2, NOVA3"	"NOVA alternative splicing regulator 2"
NPAP1	C15orf2	"Nuclear pore associated protein 1"
NPAS1	"bHLHe11, MOP5, PASD5"	"Neuronal PAS domain protein 1"
NPAS3	"bHLHe12, MOP6, PASD6"	"Neuronal PAS domain protein 3"
NPBWR1	GPR7	"Neuropeptides B and W receptor 1"
NPC1	SLC65A1	"NPC intracellular cholesterol transporter 1"
NPIPB12		"Nuclear pore complex interacting protein family member B12"
NPM2		"Nucleophosmin/nucleoplasmin 2"
NPSR1	"GPR154, GPRA, PGR14"	"Neuropeptide S receptor 1"
NPY4R	"PP1, PPYR1, Y4"	"Neuropeptide Y receptor Y4"
NRCAM	"Bravo, KIAA0343"	"Neuronal cell adhesion molecule"
NRDE2	"C14orf102, FLJ14051"	"NRDE-2, necessary for RNA interference, domain containing"
NRG1	"GGF, HGL, HRG, NDF, NRG1-IT2"	"Neuregulin 1"
NRG3		"Neuregulin 3"
NRG4	HRG4	"Neuregulin 4"
NRIP2	DKFZP761G1913	"Nuclear receptor interacting protein 2"
NRIP3	C11orf14	"Nuclear receptor interacting protein 3"
NRN1	NRN	"Neuritin 1"
NRSN2	"C20orf98, dJ1103G7.6"	"Neurensin 2"
NRXN2		"Neurexin 2"
NRXN3	"C14orf60, KIAA0743"	"Neurexin 3"
NSG1	"D4S234E, NEEP21, P21"	"Neuronal vesicle trafficking associated 1"
NTM	"CEPU-1, HNT, IGLON2, NTRI"	Neurotrimin
NTN1	NTN1L	"Netrin 1"
NTRK2	TRKB	"Neurotrophic receptor tyrosine kinase 2"
NTRK3	TRKC	"Neurotrophic receptor tyrosine kinase 3"
NUDT11	"DIPP3b, FLJ10628, hDIPP3beta"	"Nudix hydrolase 11"
NWD2	KIAA1239	"NACHT and WD repeat domain containing 2"
NXPH2	NPH2	"Neurexophilin 2"
NXPH3	NPH3	"Neurexophilin 3"
NXPH4	NPH4	"Neurexophilin 4"
NYAP1	"C7orf51, FLJ37538, KIAA1486L"	"Neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1"
OCM	OCM1	Oncomodulin
OGFRL1	dJ331H24.1	"Opioid growth factor receptor like 1"
OLFM2	"NOE2, OlfC"	"Olfactomedin 2"
OLR1	"CLEC8A, LOX-1, SCARE1"	"Oxidized low density lipoprotein receptor 1"
ONECUT2	OC-2	"One cut homeobox 2"
OPHN1	"ARHGAP41, MRX60, OPN1"	"Oligophrenin 1"
OPN4	"melanopsin, MOP"	"Opsin 4"
OR10AD1	OR10AD1P	"Olfactory receptor family 10 subfamily AD member 1"
OR10H1		"Olfactory receptor family 10 subfamily H member 1"
OR10H5		"Olfactory receptor family 10 subfamily H member 5"
OR14J1	"hs6M1-28, OR5U1"	"Olfactory receptor family 14 subfamily J member 1"
OR14L1P	"OR5AV1, OR5AV1P"	"Olfactory receptor family 14 subfamily L member 1 pseudogene"
OR1D2	"OLFR1, OR17-4"	"Olfactory receptor family 1 subfamily D member 2"
OR1I1	"OR19-20, OR1I1P, OR1I1Q"	"Olfactory receptor family 1 subfamily I member 1"
OR1M1	OR19-6	"Olfactory receptor family 1 subfamily M member 1"
OR2AK2	OR2AK1P	"Olfactory receptor family 2 subfamily AK member 2"
OR2AT4		"Olfactory receptor family 2 subfamily AT member 4"
OR2C3	"OR2C4, OR2C5P, OST742"	"Olfactory receptor family 2 subfamily C member 3"
OR2H2	hs6M1-12	"Olfactory receptor family 2 subfamily H member 2"
OR2J2	"dJ80I19.4, hs6M1-6, OR6-8"	"Olfactory receptor family 2 subfamily J member 2"
OR2L2	"HSHTPCRH07, HTPCRH07, OR2L12, OR2L4P"	"Olfactory receptor family 2 subfamily L member 2"
OR2L3		"Olfactory receptor family 2 subfamily L member 3"
OR2M3	"OR2M3P, OR2M6, OST003"	"Olfactory receptor family 2 subfamily M member 3"
OR2T12		"Olfactory receptor family 2 subfamily T member 12"
OR4D9		"Olfactory receptor family 4 subfamily D member 9"
OR52E4		"Olfactory receptor family 52 subfamily E member 4"
OR5A1	"OR5A1P, OST181"	"Olfactory receptor family 5 subfamily A member 1"
OR5A2		"Olfactory receptor family 5 subfamily A member 2"
OR5AS1		"Olfactory receptor family 5 subfamily AS member 1"
OR6J1	"OR6J1P, OR6J2"	"Olfactory receptor family 6 subfamily J member 1"
OR6Y1	OR6Y2	"Olfactory receptor family 6 subfamily Y member 1"
OR7A5	HTPCR2	"Olfactory receptor family 7 subfamily A member 5"
OTUD7B	"CEZANNE, ZA20D1"	"OTU deubiquitinase 7B"
OVOL3	HOVO3	"Ovo like zinc finger 3"
P2RX2	"DFNA41, P2X2"	"Purinergic receptor P2X 2"
P2RX7	"MGC20089, P2X7"	"Purinergic receptor P2X 7"
P2RY12	"HORK3, P2Y12, SP1999"	"Purinergic receptor P2Y12"
PAAF1	"FLJ11848, Rpn14, WDR71"	"Proteasomal ATPase associated factor 1"
PABPC1L2A	RBM32A	"Poly(A) binding protein cytoplasmic 1 like 2A"
PACC1	"C1orf75, FLJ10874, PAC, TMEM206"	"Proton activated chloride channel 1"
PACS2	"KIAA0602, PACS1L"	"Phosphofurin acidic cluster sorting protein 2"
PADI2	"KIAA0994, PDI2"	"Peptidyl arginine deiminase 2"
PAIP2B	KIAA1155	"Poly(A) binding protein interacting protein 2B"
PALM	"KIAA0270, PALM1"	Paralemmin
PAQR4	FLJ30002	"Progestin and adipoQ receptor family member 4"
PAQR8	"C6orf33, LMPB1, MPRB"	"Progestin and adipoQ receptor family member 8"
PARD6A	"PAR-6, PAR-6A, PAR6alpha, TAX40, TIP-40"	"Par-6 family cell polarity regulator alpha"
PASK	"KIAA0135, PASKIN, STK37"	"PAS domain containing serine/threonine kinase"
PATJ	"Cipp, INADL"	"PATJ crumbs cell polarity complex component"
PAX3	"HUP2, WS1"	"Paired box 3"
PAX6	"AN, AN1, AN2, D11S812E, WAGR"	"Paired box 6"
PCBP3	"FLJ44028, PCBP3-OT1, PCBP3OT"	"Poly(rC) binding protein 3"
PCDH17	"PCDH68, PCH68"	"Protocadherin 17"
PCDH20	"FLJ22218, PCDH13"	"Protocadherin 20"
PCDH7	"BH-Pcdh, PPP1R120"	"Protocadherin 7"
PCDHA1		"Protocadherin alpha 1"
PCDHA10	"CNR8, CNRN8, CNRS8, CRNR8, PCDH-ALPHA10"	"Protocadherin alpha 10"
PCDHA11	"CNR7, CNRN7, CNRS7, CRNR7, PCDH-ALPHA11"	"Protocadherin alpha 11"
PCDHA12	PCDH-ALPHA12	"Protocadherin alpha 12"
PCDHA2		"Protocadherin alpha 2"
PCDHA3	PCDH-ALPHA3	"Protocadherin alpha 3"
PCDHA4	"CNR1, CNRN1, CRNR1, PCDH-ALPHA4"	"Protocadherin alpha 4"
PCDHA6	"CNR2, CNRS2, CRNR2, PCDH-ALPHA6"	"Protocadherin alpha 6"
PCDHA7	"CNR4, CNRS4, CRNR4"	"Protocadherin alpha 7"
PCDHA9	"KIAA0345, PCDH-ALPHA9"	"Protocadherin alpha 9"
PCDHAC2	PCDH-ALPHA-C2	"Protocadherin alpha subfamily C, 2"
PCDHGA1	PCDH-GAMMA-A1	"Protocadherin gamma subfamily A, 1"
PCDHGA11	PCDH-GAMMA-A11	"Protocadherin gamma subfamily A, 11"
PCDHGA12	"CDH21, FIB3, KIAA0588, PCDH-GAMMA-A12"	"Protocadherin gamma subfamily A, 12"
PCDHGA5	"CDH-GAMMA-A5, ME3, PCDH-GAMMA-A5"	"Protocadherin gamma subfamily A, 5"
PCDHGA6	PCDH-GAMMA-A6	"Protocadherin gamma subfamily A, 6"
PCDHGA7	PCDH-GAMMA-A7	"Protocadherin gamma subfamily A, 7"
PCDHGA9	PCDH-GAMMA-A9	"Protocadherin gamma subfamily A, 9"
PCDHGB1	PCDH-GAMMA-B1	"Protocadherin gamma subfamily B, 1"
PCDHGB2	PCDH-GAMMA-B2	"Protocadherin gamma subfamily B, 2"
PCDHGB3	PCDH-GAMMA-B3	"Protocadherin gamma subfamily B, 3"
PCDHGC3	"PC-43, PC43, PCDH-GAMMA-C3, PCDH2"	"Protocadherin gamma subfamily C, 3"
PCP4	PEP-19	"Purkinje cell protein 4"
PCP4L1	IQM1	"Purkinje cell protein 4 like 1"
PCSK2	"NEC2, PC2, SPC2"	"Proprotein convertase subtilisin/kexin type 2"
PCYT1B	"CCT-beta, CTB"	"Phosphate cytidylyltransferase 1, choline, beta"
PDE4B	DPDE4	"Phosphodiesterase 4B"
PDE7B		"Phosphodiesterase 7B"
PDXK	"C21orf124, C21orf97, FLJ21324, FLJ31940, MGC15873, PKH, PNK, PRED79"	"Pyridoxal kinase"
PDXP	"CIN, dJ37E16.5, FLJ32703"	"Pyridoxal phosphatase"
PDZD2	"KIAA0300, PDZK3"	"PDZ domain containing 2"
PDZD4	"FLJ34125, KIAA1444, LNX5, LU1, PDZK4, PDZRN4L"	"PDZ domain containing 4"
PEA15	"HMAT1, HUMMAT1H, MAT1, MAT1H, PEA-15, PED, PED-PEA15, PED/PEA15"	"Proliferation and apoptosis adaptor protein 15"
PEDS1-UBE2V1	"CROC-1B, Kua-UEV, TMEM189-UBE2V1"	"PEDS1-UBE2V1 readthrough"
PEG10	"HB-1, KIAA1051, Mar2, Mart2, MEF3L, RGAG3, RTL2, SIRH1"	"Paternally expressed 10"
PGAP1	"Bst1, FLJ12377, SPG67"	"Post-GPI attachment to proteins inositol deacylase 1"
PGBD5	"DKFZp761A0620, FLJ11413"	"PiggyBac transposable element derived 5"
PGM2L1	"BM32A, FLJ32029"	"Phosphoglucomutase 2 like 1"
PHACTR1	"dJ257A7.2, KIAA1733, RPEL1"	"Phosphatase and actin regulator 1"
PHLDB1	"FLJ00141, KIAA0638, LL5a"	"Pleckstrin homology like domain family B member 1"
PHYHIP	"DYRK1AP3, KIAA0273, PAHX-AP"	"Phytanoyl-CoA 2-hydroxylase interacting protein"
PHYHIPL	"Em:AC025038.1, KIAA1796"	"Phytanoyl-CoA 2-hydroxylase interacting protein like"
PIK3C2B	"C2-PI3K, PI3K-C2beta"	"Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta"
PKD2L1	"PCL, PKD2L, PKDL, TRPP3"	"Polycystin 2 like 1, transient receptor potential cation channel"
PKIB	PRKACN2	"CAMP-dependent protein kinase inhibitor beta"
PKP4	p0071	"Plakophilin 4"
PLAAT3	"AdPLA, H-REV107-1, HRASLS3, HREV107, HREV107-3, MGC118754., PLA2G16, PLAAT-3"	"Phospholipase A and acyltransferase 3"
PLCB1	"KIAA0581, PLC-I, PLC154"	"Phospholipase C beta 1"
PLCB4		"Phospholipase C beta 4"
PLCL1	"PLC-L, PLCE, PLCL, PPP1R127, PRIP"	"Phospholipase C like 1 (inactive)"
PLCXD2	FLJ31579	"Phosphatidylinositol specific phospholipase C X domain containing 2"
PLCXD3		"Phosphatidylinositol specific phospholipase C X domain containing 3"
PLD4	C14orf175	"Phospholipase D family member 4"
PLEKHD1	UPF0639	"Pleckstrin homology and coiled-coil domain containing D1"
PLEKHG3	"ARHGEF43, KIAA0599"	"Pleckstrin homology and RhoGEF domain containing G3"
PLEKHG5	"GEF720, KIAA0720, Syx, Tech"	"Pleckstrin homology and RhoGEF domain containing G5"
PLK5	"PLK5P, SgK384ps"	"Polo like kinase 5 (inactive)"
PLPPR1	"FLJ20300, LPPR1, MGC26189, PRG-3"	"Phospholipid phosphatase related 1"
PLPPR5	"LPPR5, PAP2, PAP2D, PRG5"	"Phospholipid phosphatase related 5"
PLSCR5		"Phospholipid scramblase family member 5"
PLXNA4	"DKFZp434G0625PRO34003, FAYV2820, KIAA1550, PLXNA4A, PLXNA4B"	"Plexin A4"
PMIS2	IFITMD9	"PMIS2 transmembrane protein"
PNCK	"CaMK1b, MGC45419"	"Pregnancy up-regulated nonubiquitous CaM kinase"
PNMA2	"MA2, RGAG2"	"PNMA family member 2"
PNMA6A	"MGC15827, PNMA6C"	"PNMA family member 6A"
PNMA8A	"FLJ10781, KIAA1183L, PNMAL1"	"PNMA family member 8A"
PNMA8B	"KIAA1183, PNMAL2"	"PNMA family member 8B"
PNOC	"N/OFQ, NOP, PPNOC"	Prepronociceptin
PNPLA5	"dJ388M5.4, GS2L"	"Patatin like phospholipase domain containing 5"
PODXL2	"endoglycan, PODLX2"	"Podocalyxin like 2"
POLR2A	"POLR2, POLRA, RPB1"	"RNA polymerase II subunit A"
POMK	"FLJ23356, SgK196"	"Protein O-mannose kinase"
PON2		"Paraoxonase 2"
POU5F2	"FLJ25680, SPRM-1"	"POU domain class 5, transcription factor 2"
POU6F2	RPF-1	"POU class 6 homeobox 2"
PPFIA3	"KIAA0654, LPNA3, MGC126567, MGC126569"	"PTPRF interacting protein alpha 3"
PPFIA4		"PTPRF interacting protein alpha 4"
PPIAL4G		"Peptidylprolyl isomerase A like 4G"
PPIAL4H		"Peptidylprolyl isomerase A like 4H"
PPM1H	"ARHCL1, FLJ13253, KIAA1157, NERPP-2C"	"Protein phosphatase, Mg2+/Mn2+ dependent 1H"
PPP1R14A	"CPI-17, PPP1INL"	"Protein phosphatase 1 regulatory inhibitor subunit 14A"
PPP1R16B	"ANKRD4, KIAA0823, TIMAP"	"Protein phosphatase 1 regulatory subunit 16B"
PPP1R9A	"FLJ20068, KIAA1222, Neurabin-I"	"Protein phosphatase 1 regulatory subunit 9A"
PPP1R9B	"PPP1R6, PPP1R9, SPINO, Spn"	"Protein phosphatase 1 regulatory subunit 9B"
PPP2R2B	"B55beta, PR52B, PR55-BETA, SCA12"	"Protein phosphatase 2 regulatory subunit Bbeta"
PPP2R2C	"B55gamma, IMYPNO, MGC33570, PR52, PR55G"	"Protein phosphatase 2 regulatory subunit Bgamma"
PPP3CA	"CALN, CALNA, CNA1, PPP2B"	"Protein phosphatase 3 catalytic subunit alpha"
PRAG1	"DKFZp761P0423, NACK, PEAK2, PRAGMIN, SgK223"	"PEAK1 related, kinase-activating pseudokinase 1"
PRDM9	"KMT8B, MSBP3, PFM6, ZNF899"	"PR/SET domain 9"
PRELID3A	"C18orf43, FLJ31484, HFL-EDDG1, SLMO1"	"PRELI domain containing 3A"
PREX1	"KIAA1415, P-REX1"	"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
PREX2	"DEP.2, DEPDC2, FLJ12987, P-REX2, PPP1R129"	"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
PRKCA	"PKCA, PKCÃŽÂ±"	"Protein kinase C alpha"
PRKCB	"PKCÃŽÂ², PKCB, PRKCB1, PRKCB2"	"Protein kinase C beta"
PRKCE		"Protein kinase C epsilon"
PRKCZ	PKC2	"Protein kinase C zeta"
PRLHR	"GPR10, PrRPR"	"Prolactin releasing hormone receptor"
PRMT8	"HRMT1L3, HRMT1L4"	"Protein arginine methyltransferase 8"
PROKR2	"dJ680N4.3, GPR73b, GPR73L1, GPRg2, KAL3, PKR2"	"Prokineticin receptor 2"
PROX1		"Prospero homeobox 1"
PRPH	"NEF4, PRPH1"	Peripherin
PRR5L	"FLJ14213, PROTOR-2"	"Proline rich 5 like"
PRR7	MGC10772	"Proline rich 7, synaptic"
PRRG1	PRGP1	"Proline rich and Gla domain 1"
PRRG3	TMG3	"Proline rich and Gla domain 3"
PRSS53	POL3S	"Serine protease 53"
PRUNE2	"A214N16.3, bA214N16.3, BMCC1, BNIPXL, C9orf65, KIAA0367"	"Prune homolog 2 with BCH domain"
PSAT1	PSA	"Phosphoserine aminotransferase 1"
PSD	"EFA6, EFA6A, KIAA2011, PSD1, TYL"	"Pleckstrin and Sec7 domain containing"
PSD3	"DKFZp761K1423, EFA6D, EFA6R, HCA67, KIAA0942"	"Pleckstrin and Sec7 domain containing 3"
PSPN	PSP	Persephin
PTCHD1	FLJ30296	"Patched domain containing 1"
PTGDR2	"CD294, CRTH2, DP2, GPR44"	"Prostaglandin D2 receptor 2"
PTK2B	"CADTK, CAKB, FAK2, PTK, PYK2, RAFTK"	"Protein tyrosine kinase 2 beta"
PTN	"HBGF8, HBNF, NEGF1"	Pleiotrophin
PTPDC1	"FLJ37312, PTP9Q22"	"Protein tyrosine phosphatase domain containing 1"
PTPN20	"bA142I17.1, bA42B19.1, CT126, DKFZP566K0524, PTPN20A, PTPN20B"	"Protein tyrosine phosphatase non-receptor type 20"
PTPN4	PTPMEG	"Protein tyrosine phosphatase non-receptor type 4"
PTPRD	"HPTP, PTPD"	"Protein tyrosine phosphatase receptor type D"
PTPRN2	"IA-2beta, ICAAR, KIAA0387, phogrin"	"Protein tyrosine phosphatase receptor type N2"
PTPRR	"EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ"	"Protein tyrosine phosphatase receptor type R"
PTPRT	"KIAA0283, RPTPrho"	"Protein tyrosine phosphatase receptor type T"
PTPRZ1	"phosphacan, PTP18, PTPRZ, PTPZ, RPTPB"	"Protein tyrosine phosphatase receptor type Z1"
PURG	"PURG-A, PURG-B"	"Purine rich element binding protein G"
QDPR	"DHPR, PKU2, SDR33C1"	"Quinoid dihydropteridine reductase"
QKI	QK3	"QKI, KH domain containing RNA binding"
RAB11FIP4	"FLJ00131, KIAA1821, MGC11316, RAB11-FIP4"	"RAB11 family interacting protein 4"
RAB26		"RAB26, member RAS oncogene family"
RAB30		"RAB30, member RAS oncogene family"
RAB33A	RabS10	"RAB33A, member RAS oncogene family"
RAB37		"RAB37, member RAS oncogene family"
RAB39A	RAB39	"RAB39A, member RAS oncogene family"
RAB39B	"MRX72, WSN"	"RAB39B, member RAS oncogene family"
RAB40AL	"RAR2, RLGP"	"RAB40A like"
RAB40B	"RAR, SEC4L"	"RAB40B, member RAS oncogene family"
RAB6C	WTH3	"RAB6C, member RAS oncogene family"
RADIL	"FLJ10324, KIAA1849, RASIP2"	"Rap associating with DIL domain"
RADX	"CXorf57, FLJ10178, FLJ14191"	"RPA1 related single stranded DNA binding protein, X-linked"
RALYL	HNRPCL3	"RALY RNA binding protein like"
RAMACL	"C6orf119, dJ427A4.2, FAM103A2P, RAMMETL"	"RNA guanine-7 methyltransferase activating subunit like (pseudogene)"
RANBP17		"RAN binding protein 17"
RANBP3L	FLJ25422	"RAN binding protein 3 like"
RAP1GDS1	SmgGDS	"Rap1 GTPase-GDP dissociation stimulator 1"
RAPGEF4	"cAMP-GEFII, CGEF2"	"Rap guanine nucleotide exchange factor 4"
RAPGEF6	"PDZ-GEF2, PDZGEF2, RA-GEF-2"	"Rap guanine nucleotide exchange factor 6"
RASGEF1A	"CG4853, FLJ37817"	"RasGEF domain family member 1A"
RASGRP1	"CalDAG-GEFII, RASGRP"	"RAS guanyl releasing protein 1"
RASGRP3	"CalDAG-GEFIII, GRP3, KIAA0846"	"RAS guanyl releasing protein 3"
RASL10B	"RRP17, VTS58635"	"RAS like family 10 member B"
RASSF2	"CENP-34, KIAA0168"	"Ras association domain family member 2"
RASSF9	"P-CIP1, PAMCI"	"Ras association domain family member 9"
RBFOX3	"FOX-3, HRNBP3, NeuN"	"RNA binding fox-1 homolog 3"
REEP1	"C2orf23, FLJ13110, SPG31, Yip2a"	"Receptor accessory protein 1"
REEP2	"C5orf19, SGC32445, SPG72, Yip2d"	"Receptor accessory protein 2"
RELL1		"RELT like 1"
RELL2	"C5orf16, FLJ90583"	"RELT like 2"
REPS2	POB1	"RALBP1 associated Eps domain containing 2"
REV3L	"POLZ, REV3"	"REV3 like, DNA directed polymerase zeta catalytic subunit"
RFFL	"CARP-2, CARP2, fring, rififylin, RNF189, RNF34L"	"Ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
RFPL1	RNF78	"Ret finger protein like 1"
RFX3		"Regulatory factor X3"
RGMA	RGM	"Repulsive guidance molecule BMP co-receptor a"
RGS11		"Regulator of G protein signaling 11"
RGS12		"Regulator of G protein signaling 12"
